gene,p_value,fdr,mean_Normal,mean_0–3 days,mean_4–7 days,mean_>7 days,max_abs_log2fc_vs_normal
SPSB3,0.00011987093625533727,0.014700407523831008,8.39987466662395,7.7078407639442075,7.38221614446066,7.795033587220139,1.0176585221632894
PAMR1,0.0001232587826417821,0.015027480119975865,9.60101582828023,6.68793166952841,6.433076349027908,6.503034251744746,3.1679394792523228
ANG,0.000125033931833144,0.015155275644519685,7.434476907532101,6.069256478521545,5.854100615641151,5.826275040176462,1.608201867355639
MRPL13,0.00012667076912179157,0.015264925980642259,8.042119651271133,8.836919949184669,9.07700079583892,8.638361133150106,1.0348811445677875
NID2,0.00013010358457369832,0.015513064201076185,6.077494970223334,7.03049779545249,8.057066820424327,8.817956462541156,2.740461492317822
RCAN2,0.00013021806577073736,0.015513064201076185,8.448874899981828,6.527204688497615,7.383593304023653,7.4964389904236475,1.921670211484213
ACOT9,0.000131089500247966,0.015528147165736335,8.0542793251662,8.861238665612783,8.882766757628092,8.70018366555419,0.8284874324618912
MAD2L1,0.00013682032935312207,0.01584683459085494,4.905804444717052,6.4431567962062415,7.582601787910318,6.290415087473783,2.6767973431932655
COL14A1,0.00013575790434171078,0.01584683459085494,6.154052299032817,4.120569184412212,4.478320130301988,4.642067356115105,2.033483114620605
PTTG1,0.00013670957755804766,0.01584683459085494,8.770850344768597,10.158238799445408,10.112268787165133,9.968956400099529,1.3873884546768114
TFAM,0.00013621806470974775,0.01584683459085494,5.785033420937002,6.357860696028524,6.615307215120059,6.300978123633649,0.8302737941830571
CEMIP,0.00013787799527766232,0.015881107433970743,5.654679280877364,8.252915769485492,8.373214848093882,7.729334676942543,2.7185355672165183
HLA-DQB2,0.0001390742948310042,0.01589746210949061,9.489849552092577,7.969456055122099,7.058263311044555,7.5773627555749945,2.4315862410480227
LPCAT1,0.00013954506744228614,0.01589746210949061,7.7218900459709845,9.105463646302775,8.895611092919857,8.955064413342212,1.3835736003317907
TIMP1,0.0001410251093629168,0.01590488474220087,10.805725703117936,12.845084990019473,12.600131962568364,12.463882419843754,2.0393592869015364
FAXDC2,0.0001414821237069601,0.01590488474220087,8.23068690575793,6.477930104168849,6.398724461276653,6.53336617454189,1.8319624444812765
RAB31,0.00014189891414281283,0.01590488474220087,9.14168069075996,10.266296725060014,10.443267399673319,10.608388885472921,1.466708194712961
SLC43A3,0.00014335817448216776,0.01598251990162692,7.520887882964115,8.811483031021881,8.691075284352163,8.483909759755203,1.2905951480577658
PSD3,0.00014422227410811406,0.015993329630882777,7.51803438807465,6.339552810991447,6.871522616759978,6.726681285573659,1.1784815770832031
MPZL2,0.00014528558625734078,0.01602599948303196,7.100362330009273,8.293127305832114,8.176249711748996,8.003495165085011,1.1927649758228407
PLAU,0.00014736030358904084,0.016093189361406857,6.799082343248261,8.77126649880733,9.19184708775184,9.057751184758352,2.3927647445035793
NOP16,0.00014743856331680301,0.016093189361406857,6.00338018458005,6.837601400794213,6.545134189904352,6.423528668931179,0.8342212162141633
TIGAR,0.00015144768080909687,0.016444694007854435,6.414523571379395,7.894931161123483,8.14101373048341,7.806698331902876,1.7264901591040145
GIPC2,0.00015316262290952302,0.016470438975230935,5.60066090295368,4.363013591372172,4.313540084840926,4.158088795874285,1.4425721070793953
STMN1,0.000153264829297525,0.016470438975230935,5.022146161760354,5.504520094387748,5.5182262249287914,5.643474561035845,0.621328399275491
CYBB,0.00015733661343467664,0.01682130111223661,4.021351505822085,4.797340163522788,5.217770360173602,5.191820910562771,1.196418854351517
MAMDC2,0.00016035170894584505,0.01705618585766825,9.259966239400512,5.98587404613145,6.01139009987877,5.530588730903023,3.729377508497489
SNRPD1,0.00016409346141979788,0.01736558621157333,7.928579162884788,8.762040636668582,8.812927170266734,8.489570598582981,0.8843480073819459
ZBED2,0.00016504913775542335,0.017378507191540736,5.54129151049954,7.695108307064395,7.385132726868476,7.097395064722229,2.153816796564855
CCNA1,0.00017094844534276376,0.017414836673194836,3.623537712769407,5.756836011824788,6.833744597641527,6.7412919330352565,3.21020688487212
SH2D5,0.0001689768341231175,0.017414836673194836,4.936587037986165,7.3969914199303455,6.774282159848199,6.658245665235959,2.4604043819441808
SAR1A,0.00016919544917622177,0.017414836673194836,7.4942311244579445,8.927373146533984,9.160385228612826,8.877974257640046,1.6661541041548817
UBXN8,0.00017139820367479352,0.017414836673194836,5.912127195856763,7.2604118485594045,7.366167998653196,6.990781201470459,1.4540408027964329
RNASEH2A,0.00017206276052861874,0.017414836673194836,7.1435862861439325,8.398523360503786,8.144650328643097,7.903547978020082,1.2549370743598534
DST,0.00017286497870532713,0.017414836673194836,7.909657742264887,6.820241008806956,7.206008092297364,7.083513391749851,1.0894167334579308
TSEN15,0.0001729120870755627,0.017414836673194836,6.1017640490932985,7.06966578744039,7.096895990987792,6.996586665419366,0.9951319418944937
SNX4,0.00016641753890217048,0.017414836673194836,6.4579878474862875,6.623860513572915,7.303610113760077,6.845587672235961,0.8456222662737893
B3GALNT1,0.00017235904210047853,0.017414836673194836,4.1433366382352474,4.070739777175485,4.823325184443383,4.242478151899738,0.6799885462081354
