repetition,seed,fold,model,n_test,mae_days,selected_alpha
11,20260827,4,panel,10,2.448599314113599,31.622776601683793
11,20260827,4,combined,10,2.5037695756051446,56.23413251903491
12,20260828,0,median,10,4.6,
12,20260828,0,covariates,10,4.872636044739614,316.22776601683796
12,20260828,0,panel,10,1.8356443322676188,56.23413251903491
12,20260828,0,combined,10,2.3156637259193134,56.23413251903491
12,20260828,1,median,11,4.2727272727272725,
12,20260828,1,covariates,11,4.561872514843383,31.622776601683793
12,20260828,1,panel,11,3.0141273932761337,1.7782794100389228
12,20260828,1,combined,11,3.170736529991609,56.23413251903491
12,20260828,2,median,10,3.5,
12,20260828,2,covariates,10,3.3459161021449555,100.0
12,20260828,2,panel,10,2.4234831240294956,17.78279410038923
12,20260828,2,combined,10,1.875056783954563,56.23413251903491
12,20260828,3,median,9,5.666666666666667,
12,20260828,3,covariates,9,5.50841830344243,1000.0
12,20260828,3,panel,9,4.0373548878772345,56.23413251903491
12,20260828,3,combined,9,3.9160195759091496,56.23413251903491
12,20260828,4,median,9,4.833333333333333,
12,20260828,4,covariates,9,4.332648397983369,56.23413251903491
12,20260828,4,panel,9,3.156890841571673,56.23413251903491
12,20260828,4,combined,9,3.1394020610994193,56.23413251903491
13,20260829,0,median,9,3.888888888888889,
13,20260829,0,covariates,9,4.095106895043516,100.0
13,20260829,0,panel,9,3.2414431276239313,3.1622776601683795
13,20260829,0,combined,9,3.6516059368763902,3.1622776601683795
13,20260829,1,median,9,4.888888888888889,
13,20260829,1,covariates,9,5.314055687862235,1000.0
13,20260829,1,panel,9,2.4350405212430872,17.78279410038923
13,20260829,1,combined,9,2.3391975209791385,17.78279410038923
13,20260829,2,median,9,6.444444444444445,
13,20260829,2,covariates,9,5.406938049769423,1000.0
13,20260829,2,panel,9,3.9704412584653883,0.5623413251903491
13,20260829,2,combined,9,5.2906335018647175,0.31622776601683794
13,20260829,3,median,9,3.111111111111111,
13,20260829,3,covariates,9,4.173442381869503,1000.0
13,20260829,3,panel,9,2.645760269723591,56.23413251903491
13,20260829,3,combined,9,3.5731898315792106,17.78279410038923
13,20260829,4,median,13,3.230769230769231,
13,20260829,4,covariates,13,3.641613150642291,56.23413251903491
13,20260829,4,panel,13,2.2659599484217967,56.23413251903491
13,20260829,4,combined,13,2.26824372428801,56.23413251903491
14,20260830,0,median,11,5.318181818181818,
14,20260830,0,covariates,11,4.978643201908912,100.0
14,20260830,0,panel,11,2.739996268511423,56.23413251903491
14,20260830,0,combined,11,3.425251971704165,100.0
14,20260830,1,median,10,4.2,
14,20260830,1,covariates,10,3.9108301053840755,56.23413251903491
14,20260830,1,panel,10,2.7461018853991686,17.78279410038923
14,20260830,1,combined,10,2.883660984087099,31.622776601683793
14,20260830,2,median,10,4.9,
14,20260830,2,covariates,10,4.896182451856255,1000.0
14,20260830,2,panel,10,2.2576309673577257,5.623413251903491
14,20260830,2,combined,10,3.0283813731667513,56.23413251903491
14,20260830,3,median,10,4.6,
14,20260830,3,covariates,10,4.247241401076856,1000.0
14,20260830,3,panel,10,2.8699721315006275,5.623413251903491
14,20260830,3,combined,10,3.303170831075891,31.622776601683793
14,20260830,4,median,8,3.375,
14,20260830,4,covariates,8,3.5265748723946504,17.78279410038923
14,20260830,4,panel,8,1.9307095377398058,10.0
14,20260830,4,combined,8,2.163428666064876,31.622776601683793
15,20260831,0,median,10,4.5,
15,20260831,0,covariates,10,6.4477551151675,17.78279410038923
15,20260831,0,panel,10,3.049103493314601,10.0
15,20260831,0,combined,10,3.7637196601907483,31.622776601683793
15,20260831,1,median,10,5.1,
15,20260831,1,covariates,10,5.036788794254547,1000.0
15,20260831,1,panel,10,3.2974262585969827,31.622776601683793
15,20260831,1,combined,10,3.396160272389152,31.622776601683793
15,20260831,2,median,9,3.0,
15,20260831,2,covariates,9,2.845387422165695,1000.0
15,20260831,2,panel,9,2.6240091013437428,5.623413251903491
15,20260831,2,combined,9,2.126739576391509,31.622776601683793
15,20260831,3,median,10,4.8,
15,20260831,3,covariates,10,5.422005261641127,56.23413251903491
15,20260831,3,panel,10,3.016489343129599,31.622776601683793
15,20260831,3,combined,10,3.6510790427771127,100.0
15,20260831,4,median,10,2.9,
15,20260831,4,covariates,10,3.485017655396779,56.23413251903491
15,20260831,4,panel,10,1.960472367867813,31.622776601683793
15,20260831,4,combined,10,2.0217991535289834,56.23413251903491
16,20260832,0,median,9,6.222222222222222,
16,20260832,0,covariates,9,6.246201281175657,1000.0
16,20260832,0,panel,9,4.94485950581861,17.78279410038923
16,20260832,0,combined,9,4.625514493993061,17.78279410038923
16,20260832,1,median,13,4.846153846153846,
16,20260832,1,covariates,13,3.905020584980295,56.23413251903491
16,20260832,1,panel,13,1.8905315962338964,31.622776601683793
16,20260832,1,combined,13,2.0477335972477095,56.23413251903491
16,20260832,2,median,9,4.5,
16,20260832,2,covariates,9,5.1137950161732295,31.622776601683793
16,20260832,2,panel,9,2.026643887505262,31.622776601683793
16,20260832,2,combined,9,2.140416613010866,56.23413251903491
16,20260832,3,median,9,1.7777777777777777,
16,20260832,3,covariates,9,2.4559869176514244,56.23413251903491
16,20260832,3,panel,9,2.2114518186706817,56.23413251903491
16,20260832,3,combined,9,2.066505988394626,100.0
16,20260832,4,median,9,3.888888888888889,
16,20260832,4,covariates,9,3.942425919660665,1000.0
16,20260832,4,panel,9,2.1413912888638924,56.23413251903491
16,20260832,4,combined,9,2.346280066352397,56.23413251903491
17,20260833,0,median,10,4.2,
17,20260833,0,covariates,10,3.9515509156163304,100.0
17,20260833,0,panel,10,1.8740029012695856,31.622776601683793
17,20260833,0,combined,10,2.512479743706614,56.23413251903491
17,20260833,1,median,12,3.25,
17,20260833,1,covariates,12,3.5948647456008467,0.001
17,20260833,1,panel,12,3.153823868684904,5.623413251903491
17,20260833,1,combined,12,3.265624366782921,31.622776601683793
17,20260833,2,median,9,4.555555555555555,
