repetition,seed,fold,model,n_test,mae_days,selected_alpha
18,20260834,3,panel,12,3.0308603923838855,31.622776601683793
18,20260834,4,median,9,4.444444444444445,
18,20260834,4,panel,9,2.305874960147472,31.622776601683793
19,20260835,0,median,9,5.666666666666667,
19,20260835,0,panel,9,4.225996579530044,31.622776601683793
19,20260835,1,median,9,5.555555555555555,
19,20260835,1,panel,9,1.8019623329151209,56.23413251903491
19,20260835,2,median,9,3.5555555555555554,
19,20260835,2,panel,9,1.9243064556934533,31.622776601683793
19,20260835,3,median,11,3.6363636363636362,
19,20260835,3,panel,11,3.296816164367357,17.78279410038923
19,20260835,4,median,12,3.1666666666666665,
19,20260835,4,panel,12,2.6869346013317883,56.23413251903491
